window_length,map_size,candidate_window_count,aggregation,R@1,R@5,R@10,mAP,mean_positive_rank,median_positive_rank,max_positive_rank,top1_failure_count,chance_R@1,chance_R@5,chance_R@10,chance_expected_mAP,chance_mean_rank,mAP_excess_over_chance,normalized_rank_gain,similarity_seconds,full_sort_seconds,search_seconds,search_timing_scope,retrieval_metric_status,verified_uav_pose
5,1100,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0004380201489268506,0.0017520805957074025,0.002628120893561104,0.0037590878671393867,1020.6224266316251,968.0,2282,2282,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.00011884244203324602,0.10637824133950473,0.008738781999909406,0.10912503000008655,0.11786381199999596,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1200,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0004380201489268506,0.0008760402978537013,0.0017520805957074025,0.002950855363504873,1099.5729303547964,1116.0,2282,2282,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,-0.0006893900616012677,0.037184110118495685,0.008970905000069251,0.11853111599998556,0.1275020210000548,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1300,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.001314060446780552,0.003504161191414805,0.005256241787122208,0.0045127680996439,1107.2610600087603,1055.0,2282,2280,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.0008725226745377596,0.030446047319228488,0.008753962999890064,0.11327391100007844,0.1220278739999685,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1400,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008760402978537013,0.001314060446780552,0.003942181340341655,0.003718281826337837,1138.1603153745073,1152.0,2282,2281,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,7.803640123169638e-05,0.0033651924850944233,0.008725722000008318,0.08509939400005351,0.09382511600006183,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1500,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0004380201489268506,0.0008760402978537013,0.002190100744634253,0.00348974442995508,1066.676303109943,1055.0,2282,2282,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,-0.00015050099515106054,0.0660155099825214,0.008722154999986742,0.07816424099996766,0.0868863959999544,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1600,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.0008760402978537013,0.002628120893561104,0.0026001686100761558,1102.1480508103373,1066.0,2278,2283,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,-0.001040076815029985,0.034927212260878804,0.008643210999935036,0.0825881630000822,0.09123137400001724,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1700,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.001314060446780552,0.004818221638195357,0.006132282084975909,0.004921117103050748,1114.7533946561541,1108.0,2283,2280,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.001280871677944607,0.02387958399986493,0.00865439500012144,0.09518877300001805,0.10384316800013949,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1800,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.001314060446780552,0.003504161191414805,0.005256241787122208,0.004879391914157452,1114.180902321507,1109.0,2283,2280,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.0012391464890513116,0.02438133013014295,0.008641132000093421,0.08184781299996757,0.090488945000061,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,700,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0026845637583892616,0.007606263982102908,0.012975391498881432,0.008903574073610889,874.0796420581655,787.0,2195,2229,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,0.005194654221748188,0.21837095608042478,0.008198272999834444,0.07845520099999703,0.08665347399983148,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,800,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008948545861297539,0.0022371364653243847,0.0044742729306487695,0.00503216384964837,932.0984340044743,879.0,2226,2233,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,0.0013232439977856692,0.1664293339261645,0.008147076000113884,0.08271272000001773,0.09085979600013161,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,900,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008948545861297539,0.0044742729306487695,0.005369127516778523,0.0050168703393962295,966.1395973154363,893.0,2228,2233,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,0.0013079504875335287,0.1359538072377473,0.00816216699990946,0.07964307299994289,0.08780523999985235,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1000,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.0,0.0,0.0024061846771515996,1010.2465324384788,954.0,2235,2235,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,-0.0013027351747111012,0.09646684651881937,0.008258629000010842,0.08856290599987915,0.09682153499988999,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1100,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.00044742729306487697,0.0017897091722595079,0.005369127516778523,0.004132009773335319,1001.7458612975391,955.0,2234,2234,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,0.00042308992147261845,0.10407711611679576,0.008221160999937638,0.08476654199989753,0.09298770299983516,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1200,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.0,0.0022371364653243847,0.0023502482074450573,1083.592841163311,1088.0,2235,2235,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,-0.0013586716444176435,0.030803186066865666,0.008206486000062796,0.08527067599993643,0.09347716199999923,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1300,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008948545861297539,0.0035794183445190158,0.0071588366890380315,0.004623445948253655,1093.6666666666667,1015.0,2235,2233,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,0.000914526096390954,0.021784541927782685,0.008289284999818847,0.08798261900005855,0.0962719039998774,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1400,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.00044742729306487697,0.0017897091722595079,0.0028927698667819738,1114.4711409395973,1092.0,2234,2235,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,-0.000816149985080727,0.0031592292393936776,0.008211307000010493,0.08805682600018372,0.09626813300019421,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1500,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.00044742729306487697,0.0022371364653243847,0.003384669714027915,1037.765548098434,1025.0,2235,2235,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,-0.000324250137834786,0.07183030608913696,0.008229313000128968,0.08930320900003608,0.09753252200016505,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1600,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.0,0.0008948545861297539,0.0024329114397730086,1079.6102908277405,1048.0,2235,2235,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,-0.0012760084120896921,0.03436858475582764,0.008215634999942267,0.09728225100002419,0.10549788599996646,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1700,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.0008948545861297539,0.0022371364653243847,0.0028655659978397722,1088.3418344519016,1089.0,2229,2235,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,-0.0008433538540229286,0.026551625378781016,0.00824754799987204,0.08998492699993221,0.09823247499980425,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
9,1800,2235,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.00044742729306487697,0.003131991051454139,0.006711409395973154,0.004173564801585724,1100.9615212527965,1087.0,2234,2234,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,0.0004646449497230235,0.015253785807702326,0.0081979340000089,0.091336210999998,0.0995341450000069,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
