condition,family,severity,map_size,query_count,top1_identity_stability,positive_rank_drift_mean,positive_rank_drift_median,positive_rank_absolute_drift_mean,positive_rank_absolute_drift_median,rank_improved_fraction,rank_worsened_fraction,rank_unchanged_fraction,clean_margin_mean,corrupted_margin_mean,margin_drift_mean,descriptive_R@1,descriptive_R@5,descriptive_R@10,descriptive_mAP,accuracy_degradation_claim_allowed
blur_strong,gaussian_blur,2,1500,2331,0.03646503646503647,63.4006864006864,45.0,482.2767052767053,367.0,0.4568854568854569,0.5422565422565423,0.000858000858000858,0.016905961362449207,0.016037331894040108,-0.0008686299886072974,0.000429000429000429,0.000858000858000858,0.004719004719004719,0.003517468098816297,False
blur_strong,gaussian_blur,2,1600,2331,0.019734019734019732,9.141570141570142,-19.0,486.7520377520378,378.0,0.5195195195195195,0.4791934791934792,0.001287001287001287,0.015886598435665603,0.01066512055695057,-0.005221477962617967,0.000429000429000429,0.001716001716001716,0.00429000429000429,0.003534545318949579,False
blur_strong,gaussian_blur,2,1700,2331,0.015444015444015444,9.215787215787216,-14.0,516.2900042900043,405.0,0.5122265122265123,0.4877734877734878,0.0,0.014802112648002227,0.011562411673367023,-0.0032397024413384104,0.0,0.000429000429000429,0.001287001287001287,0.002499996045861693,False
blur_strong,gaussian_blur,2,1800,2331,0.015015015015015015,41.706134706134705,-3.0,475.15186615186616,338.0,0.5019305019305019,0.4967824967824968,0.001287001287001287,0.01774312410398143,0.010599207133054733,-0.007143917053231482,0.000429000429000429,0.001716001716001716,0.002574002574002574,0.003373890269124321,False
brightness_mild,brightness,1,700,2331,0.16859716859716858,99.12097812097812,38.0,347.03088803088804,221.0,0.42556842556842556,0.5714285714285714,0.003003003003003003,0.01665912632495224,0.0171476099640131,0.0004884833777631493,0.000429000429000429,0.00429000429000429,0.007722007722007722,0.004551189446749142,False
brightness_mild,brightness,1,800,2331,0.17117117117117117,81.30630630630631,37.0,351.1793221793222,220.0,0.4345774345774346,0.5624195624195624,0.003003003003003003,0.017085216661370965,0.016484813764691353,-0.0006004017548006253,0.000429000429000429,0.001287001287001287,0.003003003003003003,0.0036033420568075576,False
brightness_mild,brightness,1,900,2331,0.1728871728871729,64.6057486057486,24.0,337.2020592020592,209.0,0.45345345345345345,0.5448305448305448,0.001716001716001716,0.017023764438815255,0.01753607578575611,0.0005123127125610011,0.000429000429000429,0.002574002574002574,0.005577005577005577,0.004090057551664193,False
brightness_mild,brightness,1,1000,2331,0.21921921921921922,60.28185328185328,26.0,333.68039468039467,194.0,0.45602745602745604,0.5413985413985414,0.002574002574002574,0.022273948185180966,0.024757683277130127,0.0024837342736957783,0.0,0.000429000429000429,0.003003003003003003,0.002847188491697349,False
brightness_mild,brightness,1,1100,2331,0.26855426855426856,54.479193479193476,22.0,324.3093093093093,195.0,0.4538824538824539,0.543972543972544,0.002145002145002145,0.02192923101564167,0.03439699113368988,0.012467762035829572,0.001287001287001287,0.002574002574002574,0.006864006864006864,0.0046502550258725,False
brightness_mild,brightness,1,1200,2331,0.15744315744315746,47.907335907335906,17.0,342.2042042042042,205.0,0.46675246675246673,0.5323895323895323,0.000858000858000858,0.015487217266433746,0.018923228606581688,0.003436011511949189,0.0,0.001287001287001287,0.002145002145002145,0.0026938407634115114,False
